id,date,store,item,sales
0,2018-01-01,1,1,20.06136698
1,2018-01-02,1,1,20.27644583
2,2018-01-03,1,1,20.29583619
3,2018-01-04,1,1,21.52979688
4,2018-01-05,1,1,20.94203357
5,2018-01-06,1,1,20.47665177
6,2018-01-07,1,1,20.43349135
7,2018-01-08,1,1,20.45189191
8,2018-01-09,1,1,20.54245718
9,2018-01-10,1,1,20.42265556
10,2018-01-11,1,1,20.3233309
11,2018-01-12,1,1,20.28646029
12,2018-01-13,1,1,20.2671883
13,2018-01-14,1,1,20.25041705
14,2018-01-15,1,1,20.21083301
15,2018-01-16,1,1,20.17679556
16,2018-01-17,1,1,20.1537559
17,2018-01-18,1,1,20.13530269
18,2018-01-19,1,1,20.11777438
19,2018-01-20,1,1,20.09898274
20,2018-01-21,1,1,20.08241467
21,2018-01-22,1,1,20.06862795
22,2018-01-23,1,1,20.05655337
23,2018-01-24,1,1,20.04546464
24,2018-01-25,1,1,20.03512259
25,2018-01-26,1,1,20.0258963
26,2018-01-27,1,1,20.01776852
27,2018-01-28,1,1,20.01050667
28,2018-01-29,1,1,20.00393853
29,2018-01-30,1,1,19.99799154
30,2018-01-31,1,1,19.99266245
31,2018-02-01,1,1,19.98789922
32,2018-02-02,1,1,19.98362556
33,2018-02-03,1,1,19.97977966
34,2018-02-04,1,1,19.97631974
35,2018-02-05,1,1,19.97321462
36,2018-02-06,1,1,19.97042923
37,2018-02-07,1,1,19.96792812
38,2018-02-08,1,1,19.96568071
39,2018-02-09,1,1,19.96366165
40,2018-02-10,1,1,19.96184877
41,2018-02-11,1,1,19.96022113
42,2018-02-12,1,1,19.95875943
43,2018-02-13,1,1,19.95744654
44,2018-02-14,1,1,19.95626739
45,2018-02-15,1,1,19.9552085
46,2018-02-16,1,1,19.95425762
47,2018-02-17,1,1,19.95340366
48,2018-02-18,1,1,19.95263672
49,2018-02-19,1,1,19.95194795
50,2018-02-20,1,1,19.9513294
51,2018-02-21,1,1,19.95077392
52,2018-02-22,1,1,19.95027506
53,2018-02-23,1,1,19.94982704
54,2018-02-24,1,1,19.9494247
55,2018-02-25,1,1,19.94906337
56,2018-02-26,1,1,19.94873888
57,2018-02-27,1,1,19.94844746
58,2018-02-28,1,1,19.94818575
59,2018-03-01,1,1,19.94795072
60,2018-03-02,1,1,19.94773964
61,2018-03-03,1,1,19.94755008
62,2018-03-04,1,1,19.94737985
63,2018-03-05,1,1,19.94722697
64,2018-03-06,1,1,19.94708967
65,2018-03-07,1,1,19.94696637
66,2018-03-08,1,1,19.94685564
67,2018-03-09,1,1,19.94675619
68,2018-03-10,1,1,19.94666689
69,2018-03-11,1,1,19.94658668
70,2018-03-12,1,1,19.94651466
71,2018-03-13,1,1,19.94644997
72,2018-03-14,1,1,19.94639188
73,2018-03-15,1,1,19.94633971
74,2018-03-16,1,1,19.94629286
75,2018-03-17,1,1,19.94625078
76,2018-03-18,1,1,19.94621299
77,2018-03-19,1,1,19.94617906
78,2018-03-20,1,1,19.94614858
79,2018-03-21,1,1,19.94612122
80,2018-03-22,1,1,19.94609664
81,2018-03-23,1,1,19.94607456
82,2018-03-24,1,1,19.94605474
83,2018-03-25,1,1,19.94603694
84,2018-03-26,1,1,19.94602095
85,2018-03-27,1,1,19.94600659
86,2018-03-28,1,1,19.9459937
87,2018-03-29,1,1,19.94598212
88,2018-03-30,1,1,19.94597172
89,2018-03-31,1,1,19.94596238
90,2018-01-01,2,1,24.39003738
91,2018-01-02,2,1,23.41533365
92,2018-01-03,2,1,21.53845705
93,2018-01-04,2,1,21.31537863
94,2018-01-05,2,1,22.96045476
95,2018-01-06,2,1,24.13210321
96,2018-01-07,2,1,24.71956135
97,2018-01-08,2,1,24.50308978
98,2018-01-09,2,1,23.88598894
99,2018-01-10,2,1,23.46231741
100,2018-01-11,2,1,23.42432419
101,2018-01-12,2,1,23.70459512
102,2018-01-13,2,1,24.05945795
103,2018-01-14,2,1,24.27728243
104,2018-01-15,2,1,24.30648421
105,2018-01-16,2,1,24.2233458
106,2018-01-17,2,1,24.14616795
107,2018-01-18,2,1,24.14931875
108,2018-01-19,2,1,24.2325973
109,2018-01-20,2,1,24.34735985
110,2018-01-21,2,1,24.442048
111,2018-01-22,2,1,24.49431795
112,2018-01-23,2,1,24.51463288
113,2018-01-24,2,1,24.52875709
114,2018-01-25,2,1,24.55704369
115,2018-01-26,2,1,24.60400232
116,2018-01-27,2,1,24.66096976
117,2018-01-28,2,1,24.71582221
118,2018-01-29,2,1,24.76146684
119,2018-01-30,2,1,24.79841391
120,2018-01-31,2,1,24.83188904
121,2018-02-01,2,1,24.86708337
122,2018-02-02,2,1,24.90603995
123,2018-02-03,2,1,24.94749714
124,2018-02-04,2,1,24.98877802
125,2018-02-05,2,1,25.02789076
126,2018-02-06,2,1,25.06450158
127,2018-02-07,2,1,25.09957685
128,2018-02-08,2,1,25.13436288
129,2018-02-09,2,1,25.16954365
130,2018-02-10,2,1,25.20502407
131,2018-02-11,2,1,25.24025662
132,2018-02-12,2,1,25.27472977
133,2018-02-13,2,1,25.30826844
134,2018-02-14,2,1,25.34102946
135,2018-02-15,2,1,25.37329825
136,2018-02-16,2,1,25.4052771
137,2018-02-17,2,1,25.43699551
138,2018-02-18,2,1,25.4683551
139,2018-02-19,2,1,25.49923641
140,2018-02-20,2,1,25.52958195
141,2018-02-21,2,1,25.55941361
142,2018-02-22,2,1,25.58879626
143,2018-02-23,2,1,25.61778771
144,2018-02-24,2,1,25.64640991
145,2018-02-25,2,1,25.67465151
146,2018-02-26,2,1,25.70248959
147,2018-02-27,2,1,25.72991092
148,2018-02-28,2,1,25.7569201
149,2018-03-01,2,1,25.7835341
150,2018-03-02,2,1,25.80977122
151,2018-03-03,2,1,25.83564288
152,2018-03-04,2,1,25.86115234
153,2018-03-05,2,1,25.88629872
154,2018-03-06,2,1,25.91108212
155,2018-03-07,2,1,25.93550632
156,2018-03-08,2,1,25.95957837
157,2018-03-09,2,1,25.98330621
158,2018-03-10,2,1,26.00669662
159,2018-03-11,2,1,26.02975443
160,2018-03-12,2,1,26.05248321
161,2018-03-13,2,1,26.07488638
162,2018-03-14,2,1,26.09696804
163,2018-03-15,2,1,26.11873306
164,2018-03-16,2,1,26.14018659
